frequency_THz_declared,omega_J_legacy,phdos_returned_in_legacy_states_per_THz
1.574999999999999956e+00,1.043606048624999842e-21,1.680165926829268238e-03
1.580000000000000071e+00,1.046919083699999934e-21,1.696236829268292761e-03
1.584999999999999964e+00,1.050232118774999837e-21,1.712490487804877977e-03
1.590000000000000080e+00,1.053545153849999929e-21,1.728957779141104432e-03
1.594999999999999973e+00,1.056858188924999832e-21,1.745580439024390024e-03
1.600000000000000089e+00,1.060171223999999923e-21,1.762383876543210156e-03
1.604999999999999982e+00,1.063484259074999827e-21,1.779370878048779471e-03
1.610000000000000098e+00,1.066797294149999918e-21,1.796091446153845949e-03
1.614999999999999991e+00,1.070110329225000010e-21,1.812790048780487783e-03
1.620000000000000107e+00,1.073423364299999913e-21,1.829566356521738699e-03
1.625000000000000000e+00,1.076736399375000005e-21,1.846451902439024805e-03
1.630000000000000115e+00,1.080049434449999908e-21,1.863448463878326997e-03
1.635000000000000009e+00,1.083362469524999999e-21,1.880554451219512702e-03
1.640000000000000124e+00,1.086675504600000091e-21,1.897805771812081498e-03
1.645000000000000018e+00,1.089988539674999994e-21,1.915132164634146539e-03
1.650000000000000133e+00,1.093301574750000086e-21,1.932606268292683116e-03
