lambda,time_zeta,r_patch,current,voltage_patch,voltage_port
1.0,1.966,0.07841769787483738,0.73893498002739,0.05794558001293686,0.26106501997261
1.0,1.968,0.07810465358934233,0.7393410125188563,0.05774597366717889,0.2606589874811437
1.0,1.97,0.07779285897996961,0.7397466319326328,0.057547005418842785,0.2602533680673672
1.0,1.972,0.07748230905799887,0.7401518378209493,0.057348673447888646,0.2598481621790507
1.0,1.974,0.07717299885462474,0.7405566297405622,0.057150975938753165,0.25944337025943776
1.0,1.976,0.07686492342087742,0.7409610072527367,0.05695391108033781,0.2590389927472633
1.0,1.978,0.07655807782754344,0.7413649699232285,0.05675747706599693,0.25863503007677147
1.0,1.98,0.07625245716508677,0.7417685173222663,0.05656167209352604,0.25823148267773366
1.0,1.982,0.07594805654357036,0.7421716490245339,0.056366494365150156,0.2578283509754661
1.0,1.984,0.07564487109257777,0.7425743646091524,0.056171942087512174,0.2574256353908476
1.0,1.986,0.07534289596113534,0.7429766636596623,0.055978013471661384,0.2570233363403377
1.0,1.988,0.0750421263176346,0.7433785457640065,0.05578470673304209,0.2566214542359935
1.0,1.99,0.07474255734975487,0.7437800105145121,0.0555920200914822,0.25621998948548785
1.0,1.992,0.07444418426438625,0.7441810575078733,0.05539995177118194,0.25581894249212667
1.0,1.994,0.07414700228755304,0.7445816863451337,0.05520850000070272,0.25541831365486634
1.0,1.996,0.07385100666433733,0.7449818966316688,0.05501766301295604,0.2550181033683312
1.0,1.998,0.07355619265880287,0.7453816879771693,0.05482743904519235,0.2546183120228307
1.0,2.0,0.07326255555391925,0.7457810599956232,0.05463782633899013,0.25421894000437684
1.0,2.0020000000000002,0.07297009065148657,0.7461800123052985,0.054448823140245,0.2538199876947015
1.0,2.004,0.07267879327206027,0.7465785445287269,0.05426042769915898,0.25342145547127315
1.0,2.0060000000000002,0.07238865875487595,0.7469766562926854,0.05407263827022946,0.2530233437073146
1.0,2.008,0.07209968245777529,0.7473743472281804,0.0538854531122389,0.2526256527718196
1.0,2.0100000000000002,0.07181185975713127,0.74777161697043,0.0536988704882438,0.25222838302956996
1.0,2.012,0.07152518604777469,0.7481684651588475,0.053512888665564605,0.2518315348411525
