nodes,time,left_energy,right_energy,left_native_R2_energy,right_native_R2_energy,energy_residual,quasiparticle_count
513,4.05,0.4563540200478438,0.0999773525053261,0.4563077445914723,0.09998758282701371,-1.1102230246251565e-16,0.7702866230020622
513,4.1000000000000005,0.4556903561342044,0.10064101641896553,0.45564319038166184,0.10065130579827836,-1.1102230246251565e-16,0.7702864798282465
513,4.15,0.4550354534558731,0.10129591909729688,0.4549873966549742,0.10130626638136987,0.0,0.7702863375477247
513,4.2,0.4543891876597185,0.10194218489345143,0.45434023908344745,0.10195258894544995,-1.1102230246251565e-16,0.7702861961534297
513,4.25,0.45375143624411224,0.10257993630905773,0.45370159519058667,0.10259039600800585,0.0,0.7702860556383564
513,4.3,0.4531220785304014,0.10320929402276849,0.4530713443228311,0.1032198082633785,-1.1102230246251565e-16,0.7702859159955634
513,4.3500000000000005,0.4525009956348331,0.10383037691833683,0.4524493676214715,0.10384094461083941,-1.1102230246251565e-16,0.77028577721817
513,4.4,0.4518880704409215,0.10444330211224835,0.4518355479950126,0.10445392218222378,-1.1102230246251565e-16,0.7702856392993577
513,4.45,0.45128318757225294,0.10504818498091696,0.45122977009197146,0.10505885636912723,-1.1102230246251565e-16,0.7702855022323685
513,4.5,0.45068623336571917,0.10564513918745075,0.4506319202741062,0.10565586084967278,-1.1102230246251565e-16,0.7702853660105043
513,4.55,0.4500970958451744,0.10623427670799557,0.4500418865900676,0.10624504761485525,0.0,0.7702852306271268
513,4.6000000000000005,0.44951566469550747,0.10681570785766242,0.44945955874946597,0.10682652699446982,-1.1102230246251565e-16,0.7702850960756565
513,4.65,0.44894183123712383,0.10738954131604606,0.4488848280973485,0.10740040768263154,-1.1102230246251565e-16,0.7702849623495727
513,4.7,0.44837548840082914,0.10795588415234073,0.4483175875890783,0.10796679676289224,-1.1102230246251565e-16,0.770284829442412
513,4.75,0.44781653070310984,0.10851484185006012,0.44775773176561023,0.10852579973296148,0.0,0.7702846973477685
513,4.800000000000001,0.4472648542218025,0.10906651833136742,0.4472051567291565,0.10907752052903766,-1.1102230246251565e-16,0.7702845660592933
513,4.8500000000000005,0.4467203565721478,0.1096110159810221,0.44665976011923586,0.10962206154975583,-1.1102230246251565e-16,0.7702844355706938
513,4.9,0.44618293688322064,0.11014843566994935,0.4461214410891001,0.11015952367975845,0.0,0.7702843058757325
513,4.95,0.4456524957747314,0.11067887677843846,0.4455901002825317,0.11069000631289465,-1.1102230246251565e-16,0.7702841769682278
513,5.0,0.445128935334194,0.11120243721897585,0.4450656398110074,0.11121360737505451,-1.1102230246251565e-16,0.7702840488420524
