t_s,Ib_A,Is_A,vc_V,Vload_V,Vnode_V,Vdev_V,Ucircuit_J,Vload_simple_V
1.367500000000000168e-08,2.000027033002298965e-05,2.126818337414015258e-05,6.074877368491120332e-05,-6.339565220585813960e-05,-2.646878520946936274e-06,0.000000000000000000e+00,2.024516054323902403e-16,2.202285662861180882e-18
1.368000000000000074e-08,2.000027004806159491e-05,2.126686062519087320e-05,6.068541110013040422e-05,-6.332952885646391439e-05,-2.644117756333510172e-06,0.000000000000000000e+00,2.024509337579709175e-16,2.202285662861180882e-18
1.368499999999999979e-08,2.000026976639429678e-05,2.126553925590388806e-05,6.062211460420880316e-05,-6.326347447547955687e-05,-2.641359871270753702e-06,0.000000000000000000e+00,2.024502632024490996e-16,2.202285662861180882e-18
1.369000000000000215e-08,2.000026948502078017e-05,2.126421926484017627e-05,6.055888412821395090e-05,-6.319748899096981143e-05,-2.638604862755860529e-06,0.000000000000000000e+00,2.024495937637854087e-16,2.202285662861180882e-18
1.369500000000000120e-08,2.000026920394074693e-05,2.126290065056221111e-05,6.049571960328531465e-05,-6.313157233107320244e-05,-2.635852727787887787e-06,0.000000000000000000e+00,2.024489254399446576e-16,2.202285662861180882e-18
1.370000000000000025e-08,2.000026892315388534e-05,2.126158341163396682e-05,6.043262096063419002e-05,-6.306572442400408063e-05,-2.633103463369890608e-06,0.000000000000000000e+00,2.024482582288954555e-16,2.202285662861180882e-18
1.370500000000000261e-08,2.000026864265989386e-05,2.126026754662091515e-05,6.036958813154359938e-05,-6.299994519805106460e-05,-2.630357066507465222e-06,0.000000000000000000e+00,2.024475921286104298e-16,2.202285662861180882e-18
1.371000000000000167e-08,2.000026836245846079e-05,2.125895305409002885e-05,6.030662104736825117e-05,-6.293423458157839604e-05,-2.627613534210144867e-06,0.000000000000000000e+00,2.024469271370659551e-16,2.202285662861180882e-18
1.371500000000000072e-08,2.000026808254928457e-05,2.125763993260977816e-05,6.024371963953446542e-05,-6.286859250302467936e-05,-2.624872863490213947e-06,0.000000000000000000e+00,2.024462632522425969e-16,2.202285662861180882e-18
1.371999999999999977e-08,2.000026780293206368e-05,2.125632818075011060e-05,6.018088383954005169e-05,-6.280301889090235314e-05,-2.622135051362301449e-06,0.000000000000000000e+00,2.024456004721246428e-16,2.202285662861180882e-18
1.372500000000000213e-08,2.000026752360648978e-05,2.125501779708247800e-05,6.011811357895430918e-05,-6.273751367379941130e-05,-2.619400094845102122e-06,0.000000000000000000e+00,2.024449387947002759e-16,2.202285662861180882e-18
1.373000000000000118e-08,2.000026724457226472e-05,2.125370878017982635e-05,6.005540878941788432e-05,-6.267207678037808849e-05,-2.616667990960204178e-06,0.000000000000000000e+00,2.024442782179617957e-16,2.202285662861180882e-18
1.373500000000000024e-08,2.000026696582907679e-05,2.125240112861657209e-05,5.999276940264274373e-05,-6.260670813937476526e-05,-2.613938736732021530e-06,0.000000000000000000e+00,2.024436187399049532e-16,2.202285662861180882e-18
1.374000000000000260e-08,2.000026668737662445e-05,2.125109484096864278e-05,5.993019535041205225e-05,-6.254140767960091670e-05,-2.611212329188864444e-06,0.000000000000000000e+00,2.024429603585296901e-16,2.202285662861180882e-18
1.374500000000000165e-08,2.000026640921460615e-05,2.124978991581342964e-05,5.986768656458016613e-05,-6.247617532994117443e-05,-2.608488765361008301e-06,0.000000000000000000e+00,2.024423030718398187e-16,2.202285662861180882e-18
1.375000000000000070e-08,2.000026613134272036e-05,2.124848635172982145e-05,5.980524297707248395e-05,-6.241101101935506135e-05,-2.605768042282577402e-06,0.000000000000000000e+00,2.024416468778429228e-16,2.202285662861180882e-18
1.375499999999999975e-08,2.000026585376066214e-05,2.124718414729817744e-05,5.974286451988541956e-05,-6.234591467687577190e-05,-2.603050156990352340e-06,0.000000000000000000e+00,2.024409917745503827e-16,2.202285662861180882e-18
1.376000000000000211e-08,2.000026557646812655e-05,2.124588330110035778e-05,5.968055112508631395e-05,-6.228088623161156796e-05,-2.600335106525254009e-06,0.000000000000000000e+00,2.024403377599775475e-16,2.202285662861180882e-18
1.376500000000000117e-08,2.000026529946481545e-05,2.124458381171967614e-05,5.961830272481338783e-05,-6.221592561274304125e-05,-2.597622887929653421e-06,0.000000000000000000e+00,2.024396848321434890e-16,2.202285662861180882e-18
1.377000000000000022e-08,2.000026502275042728e-05,2.124328567774094037e-05,5.955611925127561964e-05,-6.215103274952564765e-05,-2.594913498250028003e-06,0.000000000000000000e+00,2.024390329890712478e-16,2.202285662861180882e-18
1.377500000000000258e-08,2.000026474632465712e-05,2.124198889775042877e-05,5.949400063675267783e-05,-6.208620757128858233e-05,-2.592206934535904502e-06,0.000000000000000000e+00,2.024383822287875128e-16,2.202285662861180882e-18
1.378000000000000163e-08,2.000026447018720343e-05,2.124069347033589685e-05,5.943194681359490725e-05,-6.202145000743467136e-05,-2.589503193839764116e-06,0.000000000000000000e+00,2.024377325493228437e-16,2.202285662861180882e-18
1.378500000000000068e-08,2.000026419433777143e-05,2.123939939408657398e-05,5.936995771422318011e-05,-6.195675998744012774e-05,-2.586802273216947626e-06,0.000000000000000000e+00,2.024370839487118181e-16,2.202285662861180882e-18
1.378999999999999974e-08,2.000026391877605619e-05,2.123810666759315657e-05,5.930803327112888244e-05,-6.189213744085502573e-05,-2.584104169726143287e-06,0.000000000000000000e+00,2.024364364249924404e-16,2.202285662861180882e-18
1.379500000000000210e-08,2.000026364350176634e-05,2.123681528944781487e-05,5.924617341687378529e-05,-6.182758229730241995e-05,-2.581408880428634662e-06,0.000000000000000000e+00,2.024357899762070042e-16,2.202285662861180882e-18
1.380000000000000115e-08,2.000026336851459016e-05,2.123552525824418620e-05,5.918437808409001766e-05,-6.176309448647980906e-05,-2.578716402389791404e-06,0.000000000000000000e+00,2.024351446004009341e-16,2.202285662861180882e-18
1.380500000000000020e-08,2.000026309381423289e-05,2.123423657257737156e-05,5.912264720547997165e-05,-6.169867393815694026e-05,-2.576026732676968607e-06,0.000000000000000000e+00,2.024345002956239195e-16,2.202285662861180882e-18
1.381000000000000256e-08,2.000026281940039637e-05,2.123294923104393898e-05,5.906098071381624820e-05,-6.163432058217712382e-05,-2.573339868360875618e-06,0.000000000000000000e+00,2.024338570599292981e-16,2.202285662861180882e-18
1.381500000000000161e-08,2.000026254527277568e-05,2.123166323224192698e-05,5.899937854194153516e-05,-6.157003434845755843e-05,-2.570655806516023269e-06,0.000000000000000000e+00,2.024332148913739330e-16,2.202285662861180882e-18
1.382000000000000067e-08,2.000026227143108281e-05,2.123037857477082756e-05,5.893784062276858016e-05,-6.150581516698724405e-05,-2.567974544218663889e-06,0.000000000000000000e+00,2.024325737880189767e-16,2.202285662861180882e-18
1.382499999999999972e-08,2.000026199787500946e-05,2.122909525723160317e-05,5.887636688928011609e-05,-6.144166296782969244e-05,-2.565296078549576353e-06,0.000000000000000000e+00,2.024319337479287616e-16,2.202285662861180882e-18
1.383000000000000208e-08,2.000026172460426762e-05,2.122781327822665962e-05,5.881495727452877299e-05,-6.137757768111959324e-05,-2.562620406590820248e-06,0.000000000000000000e+00,2.024312947691717373e-16,2.202285662861180882e-18
1.383500000000000113e-08,2.000026145161855237e-05,2.122653263635987655e-05,5.875361171163698319e-05,-6.131355923706620207e-05,-2.559947525429218877e-06,0.000000000000000000e+00,2.024306568498198783e-16,2.202285662861180882e-18
1.384000000000000018e-08,2.000026117891756894e-05,2.122525333023658032e-05,5.869233013379698133e-05,-6.124960756595057587e-05,-2.557277432153594538e-06,0.000000000000000000e+00,2.024300199879489064e-16,2.202285662861180882e-18
1.384500000000000254e-08,2.000026090650102256e-05,2.122397535846356098e-05,5.863111247427064168e-05,-6.118572259812692809e-05,-2.554610123856286411e-06,0.000000000000000000e+00,2.024293841816384137e-16,2.202285662861180882e-18
1.385000000000000160e-08,2.000026063436860830e-05,2.122269871964905193e-05,5.856995866638947819e-05,-6.112190426402218152e-05,-2.551945597632703324e-06,0.000000000000000000e+00,2.024287494289713941e-16,2.202285662861180882e-18
