time_s,current_A,Rpatch_ohm,Vport_V,Ldiff_H,Psource_W,Pload_W,Ppatch_W,Wsource_J,Qload_J,Qpatch_J,Uext_J,balance_defect_J,wrong_energy_balance_defect_J,current_DOP853_A
3.312500000000000193e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.375000000000000236e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.437500000000000279e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.500000000000000321e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.562500000000000364e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.624999999999999890e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.687499999999999932e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.749999999999999975e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.812500000000000018e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.875000000000000060e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
3.937500000000000103e-10,2.000000000000000164e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.999999999999999909e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000061e-17,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000164e-05
