delta_over_Delta0,q_ell0,gap_over_kBTc,current_uA
0.2,0.12000000000000001,1.75167813798608,10.26326357372813
0.2,0.135,1.7484217152201433,11.513578794830341
0.2,0.15000000000000002,1.7447740555674236,12.752333196177489
0.2,0.165,1.7407323612565486,13.978209631336442
0.2,0.18000000000000002,1.7362934916754904,15.189880151549646
0.2,0.195,1.7314539475610684,16.386004659815345
0.2,0.21000000000000002,1.726209852956645,17.56522947889704
0.2,0.225,1.7205569347491323,18.726185820713024
0.2,0.24000000000000002,1.7144904995107164,19.867488142523534
0.2,0.255,1.7080054073481976,20.987732373580055
0.2,0.27,1.701096042345598,22.085493992672284
0.2,0.28500000000000003,1.693756279244197,23.159325935646297
0.2,0.30000000000000004,1.6859794457841488,24.20775630663731
0.2,0.315,1.6777582801326874,25.229285863599898
0.2,0.33,1.6690848827008589,26.2223852434438
0.2,0.34500000000000003,1.6599506614518995,27.185491884584604
0.2,0.36000000000000004,1.650346269728545,28.117006598184172
0.2,0.37500000000000006,1.640261535331587,29.015289727929975
0.2,0.39,1.629685379374457,29.878656826463857
0.2,0.405,1.6186057230778066,30.70537375998682
0.2,0.42000000000000004,1.6070093802689807,31.49365113241514
0.2,0.43500000000000005,1.594881932839804,32.241637894624624
0.2,0.45,1.5822075856454252,32.947413968254175
0.2,0.465,1.5689689965716904,33.60898167177147
0.2,0.48000000000000004,1.5551470762277158,34.22425567538856
0.2,0.49500000000000005,1.5407207502374192,34.79105113452051
0.2,0.51,1.5256666751018928,35.307069548474594
0.2,0.525,1.50995889579541,35.76988174944959
0.2,0.54,1.4935684296846177,36.17690724130099
0.2,0.555,1.4764627562846737,36.52538885018162
0.2,0.5700000000000001,1.458605185467049,36.812361299326305
0.2,0.5850000000000001,1.4399540672077373,37.03461184091255
0.2,0.6000000000000001,1.4204617925473995,37.1886304134646
0.2,0.6150000000000001,1.4000735164241953,37.270545868452686
0.2,0.63,1.378725506006502,37.276043520779425
0.2,0.645,1.3563429787011485,37.20025745204675
0.2,0.66,1.3328372363741408,37.037628409399964
0.2,0.675,1.308101816133907,36.781714424296055
0.2,0.6900000000000001,1.2820072472472255,36.424935877524696
0.2,0.7050000000000001,1.2543938010122024,35.95822878248818
0.2,0.7200000000000001,1.2250612985537852,35.37056813129528
0.2,0.7350000000000001,1.1937545162197776,34.648304874942355
0.2,0.7500000000000001,1.1601418431352424,33.77423137618846
0.2,0.765,1.1237832986564726,32.726243591783174
0.2,0.78,1.0840812029727065,31.475390169815785
0.2,0.795,1.0402014580686185,29.982964151093636
0.2,0.81,0.9909429647494625,28.196063383192573
0.2,0.8250000000000001,0.9345127752380906,26.040724432084563
0.2,0.8400000000000001,0.8681376545984718,23.4119720012202
0.2,0.8550000000000001,0.7875389966687382,20.167830315591583
0.2,0.8700000000000001,0.6880454305499328,16.211558183671073
0.2,0.8850000000000001,0.5793244025762272,12.091687884339462
0.2,0.9,0.495779180522507,9.149425420117444
0.2,0.915,0.4418046500594975,7.383546129811549
0.2,0.93,0.4046372761729088,6.242608262904826
0.2,0.9450000000000001,0.37681649341589357,5.4349725388404595
0.2,0.9600000000000001,0.35471001876652153,4.8248372893939395
0.2,0.9750000000000001,0.33640151834540616,4.342592697567308
0.2,0.9900000000000001,0.32078169642874277,3.948820335527298
0.2,1.0050000000000001,0.30715773453217643,3.6193490044647905
0.2,1.02,0.29507025395701897,3.3384101428218558
0.2,1.0350000000000001,0.28419986652157997,3.0952034050947477
0.2,1.05,0.27431586128549273,2.8820371501448294
0.2,1.0650000000000002,0.2652462739853247,2.693256699284298
0.2,1.08,0.25685952969619247,2.5245938829340377
0.2,1.0950000000000002,0.24905269902521757,2.3727548602738153
0.2,1.11,0.24174371162628694,2.2351492218487254
0.2,1.125,0.23486603258767,2.109706306185016
0.2,1.1400000000000001,0.22836492442867895,1.9947472510112307
0.2,1.155,0.22219476040368713,1.8888937493422973
