delta_over_Delta0,q_ell0,H_phase_vacuum_at_fixed_a_0p6Delta0
0.2,0.7957286432160804,1.365665523952853
0.2,0.7988944723618091,1.3524167540541125
0.2,0.8020603015075377,1.3391153781928975
0.2,0.8052261306532664,1.3257613963692054
0.2,0.808391959798995,1.312354808583039
0.2,0.8115577889447236,1.298895614834396
0.2,0.8147236180904522,1.2853838151232777
0.2,0.817889447236181,1.2718194094496837
0.2,0.8210552763819096,1.2582023978136136
0.2,0.8242211055276383,1.2445327802150683
0.2,0.8273869346733669,1.230810556654047
0.2,0.8305527638190955,1.2170357271305507
0.2,0.8337185929648241,1.203208291644578
0.2,0.8368844221105528,1.1893282501961298
0.2,0.8400502512562815,1.175395602785205
0.2,0.8432160804020101,1.1614103494118053
0.2,0.8463819095477387,1.1473724900759303
0.2,0.8495477386934673,1.1332820247775794
0.2,0.8527135678391959,1.1191389535167533
0.2,0.8558793969849247,1.1049432762934503
0.2,0.8590452261306534,1.090694993107672
0.2,0.862211055276382,1.076394103959418
0.2,0.8653768844221106,1.0620406088486884
0.2,0.8685427135678392,1.0476345077754838
0.2,0.8717085427135679,1.0331758007398022
0.2,0.8748743718592965,1.018664487741646
0.2,0.8780402010050252,1.0041005687810132
0.2,0.8812060301507538,0.9894840438579056
0.2,0.8843718592964824,0.974814912972322
0.2,0.887537688442211,0.9600931761242624
0.2,0.8907035175879398,0.9453188333137272
0.2,0.8938693467336684,0.9304918845407164
0.2,0.8970351758793971,0.9156123298052301
0.2,0.9002010050251257,0.9006801691072677
0.2,0.9033668341708543,0.8856954024468304
0.2,0.906532663316583,0.8706580298239162
0.2,0.9096984924623116,0.8555680512385273
0.2,0.9128643216080402,0.8404254666906625
0.2,0.9160301507537689,0.825230276180321
0.2,0.9191959798994975,0.8099824797075053
0.2,0.9223618090452261,0.7946820772722134
0.2,0.9255276381909548,0.7793290688744456
0.2,0.9286934673366835,0.7639234545142022
0.2,0.9318592964824121,0.7484652341914833
0.2,0.9350251256281408,0.7329544079062877
0.2,0.9381909547738694,0.7173909756586174
0.2,0.941356783919598,0.7017749374484716
0.2,0.9445226130653267,0.686106293275849
0.2,0.9476884422110553,0.6703850431407521
0.2,0.9508542713567839,0.654611187043179
0.2,0.9540201005025126,0.6387847249831299
0.2,0.9571859296482412,0.6229056569606051
0.2,0.96035175879397,0.6069739829756047
0.2,0.9635175879396985,0.5909897030281286
0.2,0.9666834170854272,0.5749528171181765
0.2,0.9698492462311559,0.5588633252457491
0.2,0.9730150753768845,0.542721227410846
0.2,0.9761809045226131,0.5265265236134677
0.2,0.9793467336683418,0.5102792138536123
0.2,0.9825125628140704,0.4939792981312826
0.2,0.985678391959799,0.47762677644647655
0.2,0.9888442211055277,0.4612216487991945
0.2,0.9920100502512563,0.4447639151894375
0.2,0.9951758793969849,0.42825357561720445
0.2,0.9983417085427136,0.41169063008249573
0.2,1.0015075376884424,0.3950750785853107
0.2,1.004673366834171,0.37840692112565105
0.2,1.0078391959798996,0.36168615770351503
0.2,1.0110050251256282,0.34491278831890376
0.2,1.0141708542713568,0.32808681297181713
0.2,1.0173366834170854,0.31120823166225414
0.2,1.020502512562814,0.29427704439021624
0.2,1.0236683417085426,0.2772932511557019
0.2,1.0268341708542714,0.26025685195871123
0.2,1.03,0.24316784679924525
