T_over_Tc,delta_kBTc,Q,h,force_scaled_error,current_scaled_error,mixed_scaled_error
8.000000000000000444e-01,2.500000000000000000e-01,4.500000000000000111e-01,1.000000000000000048e-04,2.584737979205442571e-15,3.157890615668179635e-14,2.254862963013692934e-13
8.000000000000000444e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000021e-02,7.072803454022391634e-11,1.425737999882770168e-10,8.784908356318510414e-10
8.000000000000000444e-01,2.500000000000000000e-01,7.500000000000000000e-01,3.000000000000000062e-03,5.694472671180506040e-13,1.154937256941934720e-12,7.135514401568343601e-12
8.000000000000000444e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000021e-03,4.662936703425657470e-15,1.405819904931604469e-14,4.163336342344337027e-14
8.000000000000000444e-01,2.500000000000000000e-01,7.500000000000000000e-01,2.999999999999999737e-04,1.300348717592214598e-14,3.358424649491098535e-15,1.928457393773896911e-13
8.000000000000000444e-01,2.500000000000000000e-01,7.500000000000000000e-01,1.000000000000000048e-04,1.079691891447964736e-13,2.937927678914320495e-14,7.632783294297951215e-13
8.000000000000000444e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.000000000000000021e-02,6.790558115810085837e-10,2.312964634635742957e-16,6.938893903907228378e-16
8.000000000000000444e-01,8.000000000000000444e-01,0.000000000000000000e+00,3.000000000000000062e-03,5.488776100293080162e-12,0.000000000000000000e+00,2.312964634635742661e-15
8.000000000000000444e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.000000000000000021e-03,8.065770273901762266e-14,0.000000000000000000e+00,2.312964634635742661e-15
8.000000000000000444e-01,8.000000000000000444e-01,0.000000000000000000e+00,2.999999999999999737e-04,5.387357226993572112e-14,1.541976423090495160e-14,1.541976423090495160e-14
8.000000000000000444e-01,8.000000000000000444e-01,0.000000000000000000e+00,1.000000000000000048e-04,3.200772979994326306e-13,2.312964634635742582e-14,6.938893903907227115e-14
8.000000000000000444e-01,8.000000000000000444e-01,1.499999999999999944e-01,1.000000000000000021e-02,6.471272406827210943e-10,1.717058634165269382e-09,1.963639917335058271e-09
8.000000000000000444e-01,8.000000000000000444e-01,1.499999999999999944e-01,3.000000000000000062e-03,5.238393052664491734e-12,1.391933790451105324e-11,1.591626830332870668e-11
8.000000000000000444e-01,8.000000000000000444e-01,1.499999999999999944e-01,1.000000000000000021e-03,7.238654120556020644e-14,1.764699497641686321e-13,2.775557561562891351e-13
8.000000000000000444e-01,8.000000000000000444e-01,1.499999999999999944e-01,2.999999999999999737e-04,3.516631430500183342e-14,1.012800954214299054e-13,4.629630012686902774e-14
8.000000000000000444e-01,8.000000000000000444e-01,1.499999999999999944e-01,1.000000000000000048e-04,3.127220704612909685e-13,2.775557561562891351e-15,1.526556658859590243e-12
8.000000000000000444e-01,8.000000000000000444e-01,4.500000000000000111e-01,1.000000000000000021e-02,4.357022520551367961e-10,3.219810140731027559e-09,4.644431677092462521e-09
8.000000000000000444e-01,8.000000000000000444e-01,4.500000000000000111e-01,3.000000000000000062e-03,3.533284775869560690e-12,2.608058213837693984e-11,3.759604663974355698e-11
8.000000000000000444e-01,8.000000000000000444e-01,4.500000000000000111e-01,1.000000000000000021e-03,4.148070775755741124e-14,3.033129303275927668e-13,6.334043849586484354e-13
8.000000000000000444e-01,8.000000000000000444e-01,4.500000000000000111e-01,2.999999999999999737e-04,1.358427259567918099e-13,1.739164368075307721e-13,6.192161267355616903e-13
8.000000000000000444e-01,8.000000000000000444e-01,4.500000000000000111e-01,1.000000000000000048e-04,4.346870086102683217e-13,2.732813975114822824e-13,8.024473472164294627e-13
8.000000000000000444e-01,8.000000000000000444e-01,7.500000000000000000e-01,1.000000000000000021e-02,1.916297120985177571e-10,1.682087580334723498e-09,2.547730591602584880e-09
8.000000000000000444e-01,8.000000000000000444e-01,7.500000000000000000e-01,3.000000000000000062e-03,1.545819028336836709e-12,1.360300760921973051e-11,2.062601540453617888e-11
8.000000000000000444e-01,8.000000000000000444e-01,7.500000000000000000e-01,1.000000000000000021e-03,3.830269434956790064e-15,7.360778653264787863e-14,1.796353247513266900e-13
8.000000000000000444e-01,8.000000000000000444e-01,7.500000000000000000e-01,2.999999999999999737e-04,2.690070388666754297e-13,3.457234498682737467e-13,7.185412990052449637e-13
8.000000000000000444e-01,8.000000000000000444e-01,7.500000000000000000e-01,1.000000000000000048e-04,4.546363285840016033e-14,2.247091401841316838e-13,5.992634433701351326e-14
8.000000000000000444e-01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,3.088606592704934428e-10,0.000000000000000000e+00,9.251858538542971828e-16
8.000000000000000444e-01,1.500000000000000000e+00,0.000000000000000000e+00,3.000000000000000062e-03,2.489813910599991686e-12,1.541976423090495042e-15,0.000000000000000000e+00
8.000000000000000444e-01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,6.677991493120316591e-14,4.625929269271485322e-15,9.251858538542970644e-15
8.000000000000000444e-01,1.500000000000000000e+00,0.000000000000000000e+00,2.999999999999999737e-04,1.161015728001757452e-13,1.541976423090495160e-14,3.083952846180990320e-14
8.000000000000000444e-01,1.500000000000000000e+00,0.000000000000000000e+00,1.000000000000000048e-04,9.324208072314377205e-13,4.625929269271485164e-14,9.251858538542970329e-14
8.000000000000000444e-01,1.500000000000000000e+00,1.499999999999999944e-01,1.000000000000000021e-02,3.098986067762155017e-10,2.067530147087381920e-09,1.229271351377292376e-09
8.000000000000000444e-01,1.500000000000000000e+00,1.499999999999999944e-01,3.000000000000000062e-03,2.387423592153936625e-12,1.682265438063268448e-11,1.009370365068207320e-11
8.000000000000000444e-01,1.500000000000000000e+00,1.499999999999999944e-01,1.000000000000000021e-03,8.121281425133020093e-14,2.664535259100375697e-14,3.053113317719180486e-13
8.000000000000000444e-01,1.500000000000000000e+00,1.499999999999999944e-01,2.999999999999999737e-04,1.598721155460225418e-13,5.972999872483342187e-14,3.392841563254478388e-13
8.000000000000000444e-01,1.500000000000000000e+00,1.499999999999999944e-01,1.000000000000000048e-04,1.089128787157278566e-12,2.064348691988016071e-12,1.017630424371418485e-12
8.000000000000000444e-01,1.500000000000000000e+00,4.500000000000000111e-01,1.000000000000000021e-02,2.962469158873659580e-10,4.007079766810789629e-09,5.930425515791057257e-12
8.000000000000000444e-01,1.500000000000000000e+00,4.500000000000000111e-01,3.000000000000000062e-03,2.344013871891093004e-12,3.243782692114878759e-11,3.131521964684932754e-14
8.000000000000000444e-01,1.500000000000000000e+00,4.500000000000000111e-01,1.000000000000000021e-03,1.817435091311381257e-13,4.156245635885531854e-13,1.880323774289044339e-13
8.000000000000000444e-01,1.500000000000000000e+00,4.500000000000000111e-01,2.999999999999999737e-04,4.561906408184768225e-13,3.806654881465253466e-14,2.742197612316720428e-13
8.000000000000000444e-01,1.500000000000000000e+00,4.500000000000000111e-01,1.000000000000000048e-04,9.932055178296650411e-13,4.480976603324812398e-13,2.586185752266923082e-12
8.000000000000000444e-01,1.500000000000000000e+00,7.500000000000000000e-01,1.000000000000000021e-02,1.765510234917311923e-10,2.872754661384461401e-09,2.380419982356652299e-09
8.000000000000000444e-01,1.500000000000000000e+00,7.500000000000000000e-01,3.000000000000000062e-03,1.464765674748182629e-12,2.333281589784202027e-11,1.920596425095515361e-11
8.000000000000000444e-01,1.500000000000000000e+00,7.500000000000000000e-01,1.000000000000000021e-03,4.215793783921802481e-13,4.477480392713931086e-13,2.945003817391468991e-13
8.000000000000000444e-01,1.500000000000000000e+00,7.500000000000000000e-01,2.999999999999999737e-04,3.052368298658171558e-13,7.807498387488143086e-13,1.085167862719813441e-12
8.000000000000000444e-01,1.500000000000000000e+00,7.500000000000000000e-01,1.000000000000000048e-04,2.942149042159511409e-12,9.298551220969133624e-13,1.937972505733555059e-12
8.000000000000000444e-01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-02,6.082068182422517566e-11,0.000000000000000000e+00,1.850371707708594366e-15
8.000000000000000444e-01,2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000062e-03,6.112887973586111912e-13,0.000000000000000000e+00,6.167905692361980167e-15
8.000000000000000444e-01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000021e-03,1.949551631241774885e-13,0.000000000000000000e+00,1.850371707708594129e-14
8.000000000000000444e-01,2.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999737e-04,1.734168364464494516e-13,0.000000000000000000e+00,6.167905692361980640e-14
8.000000000000000444e-01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000048e-04,3.257283331947746774e-12,0.000000000000000000e+00,1.850371707708594066e-13
