nu_THz,alpha2F,phdos_as_supplied,cumulative_modes
3.311450000000000227e-01,3.463462000000000122e-86,3.115500000000000241e-05,3.438978068840114468e-06
3.327849999999999975e-01,3.566256999999999683e-86,3.146422999999999809e-05,3.490325837440113535e-06
3.344239999999999990e-01,3.668988000000000038e-86,3.177497999999999846e-05,3.542150370035113654e-06
3.360630000000000006e-01,3.771719999999999778e-86,3.208726999999999814e-05,3.594485483910113629e-06
3.377029999999999754e-01,3.874515000000000053e-86,3.240108000000000251e-05,3.647365930910112638e-06
3.393419999999999770e-01,3.977246999999999793e-86,3.271640999999999802e-05,3.700729713965112824e-06
3.401700999999999753e-01,4.029150999999999816e-86,3.287650000000000278e-05,3.727888458350612960e-06
3.409809999999999786e-01,4.828884999999999783e-86,3.303327999999999961e-05,3.754611578651613005e-06
3.426210000000000089e-01,6.446273999999999527e-86,3.335166999999999911e-05,3.809047237651613990e-06
3.442600000000000104e-01,8.062676000000000651e-86,3.367158999999999723e-05,3.863972799221614192e-06
3.458990000000000120e-01,9.679078000000000347e-86,3.399303000000000003e-05,3.919423955311613978e-06
3.475389999999999868e-01,1.129646999999999967e-85,3.431600000000000145e-05,3.975437359911613045e-06
3.491779999999999884e-01,1.291287000000000060e-85,3.464050000000000148e-05,4.031947211661612926e-06
3.501751000000000169e-01,1.389620999999999971e-85,3.483883999999999863e-05,4.066586136618614267e-06
3.508169999999999900e-01,2.365920999999999895e-85,3.496653000000000012e-05,4.088990170120113365e-06
3.524570000000000203e-01,4.860235999999999774e-85,3.529407999999999667e-05,4.146603870320114175e-06
3.540960000000000218e-01,7.353029999999999922e-85,3.562315999999999860e-05,4.204720548500113825e-06
3.557350000000000234e-01,9.845824999999999598e-85,3.595376999999999915e-05,4.263377842635114202e-06
3.573749999999999982e-01,1.234013999999999919e-84,3.628590999999999832e-05,4.322614380235113462e-06
3.590139999999999998e-01,1.483292999999999951e-84,3.661957000000000216e-05,4.382360421095113396e-06
3.601801000000000030e-01,1.660647000000000044e-84,3.685804000000000126e-05,4.425201541605613289e-06
3.606530000000000014e-01,2.747862000000000131e-84,3.695475999999999785e-05,4.442654578165613600e-06
3.622929999999999762e-01,6.518204999999999890e-84,3.729146999999999822e-05,4.503536486765612498e-06
3.639319999999999777e-01,1.028624999999999981e-83,3.762971999999999791e-05,4.564934401970612379e-06
3.655709999999999793e-01,1.405428999999999970e-83,3.796949000000000228e-05,4.626887954565612859e-06
3.672110000000000096e-01,1.782463999999999924e-83,3.831077999999999779e-05,4.689437775965614031e-06
3.688500000000000112e-01,2.159268000000000095e-83,3.865360999999999938e-05,4.752510093570613807e-06
3.701850999999999892e-01,2.466204000000000027e-83,3.893410999999999780e-05,4.804303776056613180e-06
3.704890000000000128e-01,3.501346999999999793e-83,3.899795999999999889e-05,4.816145554093113706e-06
3.721289999999999876e-01,9.087369000000000417e-83,3.934383999999999700e-05,4.880385830093113011e-06
3.737679999999999891e-01,1.466997999999999942e-82,3.969123999999999981e-05,4.945155078153113479e-06
3.754069999999999907e-01,2.025260000000000069e-82,4.004017000000000123e-05,5.010494968648113286e-06
3.770470000000000210e-01,2.583861999999999910e-82,4.039063000000000126e-05,5.076448224648114699e-06
3.786860000000000226e-01,3.142124000000000037e-82,4.074261999999999990e-05,5.142936923023114393e-06
3.801900999999999753e-01,3.654435000000000100e-82,4.106704000000000111e-05,5.204461877826112488e-06
3.803250000000000242e-01,4.321703000000000063e-82,4.109613000000000323e-05,5.210003783642614196e-06
3.819649999999999990e-01,1.243348999999999939e-81,4.145116999999999839e-05,5.277692569642613332e-06
3.836040000000000005e-01,2.054032000000000104e-81,4.180773999999999894e-05,5.345923246387613048e-06
3.852430000000000021e-01,2.864716000000000071e-81,4.216583999999999811e-05,5.414739595197613388e-06
3.868829999999999769e-01,3.675894000000000072e-81,4.252546000000000196e-05,5.484186461197612636e-06
3.885219999999999785e-01,4.486577999999999571e-81,4.288660999999999765e-05,5.554181652562612888e-06
3.901609999999999800e-01,5.297262000000000007e-81,4.324927999999999802e-05,5.624770014417613275e-06
3.901951000000000169e-01,5.314126999999999938e-81,4.325684999999999903e-05,5.626244943934115237e-06
3.918010000000000104e-01,1.661980999999999972e-80,4.361348999999999771e-05,5.695997483437115216e-06
3.934400000000000119e-01,2.815850999999999917e-80,4.397922000000000208e-05,5.767779709282115386e-06
3.950790000000000135e-01,3.969720999999999675e-80,4.434646999999999759e-05,5.840162612237115768e-06
3.967189999999999883e-01,5.124293999999999995e-80,4.471525999999999919e-05,5.913193230837114816e-06
3.983579999999999899e-01,6.278164000000000128e-80,4.508556999999999870e-05,5.986785011022115134e-06
3.999969999999999914e-01,7.432033999999999512e-80,4.545740999999999682e-05,6.060984983132115459e-06
4.002001000000000031e-01,7.575017999999999415e-80,4.550363999999999857e-05,6.070222077759616037e-06
4.016370000000000218e-01,2.168742000000000087e-79,4.583076999999999963e-05,6.135841284624116768e-06
4.032760000000000233e-01,3.778473000000000112e-79,4.620566000000000105e-05,6.211265139009116616e-06
4.049150000000000249e-01,5.388204000000000136e-79,4.658208000000000108e-05,6.287304691939116547e-06
