time,ue_0,ue_1,uph_0,uph_1,escape,total
8.750000000000000000e+00,5.333366324759551969e-01,3.401431713202499596e-01,4.327641265775189483e-02,4.888695673784070397e-03,1.786146430495418325e-01,1.100259555177282911e+00
8.875000000000000000e+00,5.328874242515495574e-01,3.407863283935242960e-01,4.237687604212064807e-02,4.934035618387550177e-03,1.792748908717007317e-01,1.100259555177282689e+00
9.000000000000000000e+00,5.324208092943156778e-01,3.414248777918568178e-01,4.151264417806119211e-02,4.979155759874608414e-03,1.799220681531744914e-01,1.100259555177282911e+00
9.125000000000000000e+00,5.319379119639597864e-01,3.420587926580589411e-01,4.068209963320525840e-02,5.024040694011901349e-03,1.805567102280472291e-01,1.100259555177283133e+00
9.250000000000000000e+00,5.314398002189930637e-01,3.426880498789861562e-01,3.988370183686724968e-02,5.068675710382912133e-03,1.811793275320536800e-01,1.100259555177283133e+00
9.375000000000000000e+00,5.309274883692088887e-01,3.433126298683944477e-01,3.911598336944138721e-02,5.113046777398809820e-03,1.817904067928392819e-01,1.100259555177282911e+00
9.500000000000000000e+00,5.304019396660826224e-01,3.439325163639146976e-01,3.837754646960980093e-02,5.157140526638450025e-03,1.823904121510372955e-01,1.100259555177282911e+00
9.625000000000000000e+00,5.298640687536332328e-01,3.445476962360338735e-01,3.766705972909803468e-02,5.200944236809871939e-03,1.829797862217079629e-01,1.100259555177283133e+00
9.750000000000000000e+00,5.293147440022830663e-01,3.451581593069749654e-01,3.698325494471550734e-02,5.244445817625419115e-03,1.835589511056838485e-01,1.100259555177282689e+00
9.875000000000000000e+00,5.287547897482548498e-01,3.457638981773615283e-01,3.632492409741749917e-02,5.287633793882889899e-03,1.841283093603662546e-01,1.100259555177282911e+00
1.000000000000000000e+01,5.281849884610387846e-01,3.463649080585562423e-01,3.569091642812592668e-02,5.330497290044837987e-03,1.846882449395171877e-01,1.100259555177283133e+00
1.012500000000000000e+01,5.276060828614730358e-01,3.469611866085642315e-01,3.508013558004591248e-02,5.373026015608394282e-03,1.852391241115915188e-01,1.100259555177283133e+00
1.025000000000000000e+01,5.270187779051200838e-01,3.475527337796378013e-01,3.449153692207016647e-02,5.415210249972847271e-03,1.857812963204820145e-01,1.100259555177282911e+00
1.037500000000000000e+01,5.264237423003890193e-01,3.481395517090768443e-01,3.392412549724058146e-02,5.457040821829040392e-03,1.863150948487475034e-01,1.100259555177282911e+00
1.050000000000000000e+01,5.258216105000510510e-01,3.487216445639061968e-01,3.337695333555590338e-02,5.498509097042929630e-03,1.868408376807267623e-01,1.100259555177282911e+00
1.062500000000000000e+01,5.252129843279915722e-01,3.492990184192499292e-01,3.284911725687635758e-02,5.539606962477417948e-03,1.873588282106876113e-01,1.100259555177282911e+00
1.075000000000000000e+01,5.245984345804617366e-01,3.498716811382121539e-01,3.233975670822182569e-02,5.580326810658944522e-03,1.878693559397284218e-01,1.100259555177283133e+00
1.087500000000000000e+01,5.239785025398868701e-01,3.504396422590616567e-01,3.184805171870776913e-02,5.620661524522786202e-03,1.883726971351039614e-01,1.100259555177283133e+00
1.100000000000000000e+01,5.233537014006041099e-01,3.510029128898203288e-01,3.137322097296008083e-02,5.660604462166022102e-03,1.888691154517324333e-01,1.100259555177282911e+00
1.112500000000000000e+01,5.227245176195929321e-01,3.515615056090630186e-01,3.091451998544769361e-02,5.700149441733367607e-03,1.893588625214457644e-01,1.100259555177282911e+00
1.125000000000000000e+01,5.220914122052715545e-01,3.521154343717335378e-01,3.047123935817222518e-02,5.739290726561156047e-03,1.898421785155444130e-01,1.100259555177282911e+00
1.137500000000000000e+01,5.214548219574242083e-01,3.526647144187815552e-01,3.004270310415364104e-02,5.778023010704617934e-03,1.903192926862187218e-01,1.100259555177282689e+00
1.150000000000000000e+01,5.208151606713307125e-01,3.532093621894295543e-01,2.962826701915102778e-02,5.816341404973754230e-03,1.907904238923980311e-01,1.100259555177283133e+00
1.162500000000000000e+01,5.201728203191637867e-01,3.537493952348688131e-01,2.922731708405743381e-02,5.854241423602992572e-03,1.912557811155898846e-01,1.100259555177282911e+00
1.175000000000000000e+01,5.195281721538806963e-01,3.542848321384870491e-01,2.883926797158779115e-02,5.891718970915059070e-03,1.917155639424121538e-01,1.100259555177282689e+00
1.187500000000000000e+01,5.188815674882557571e-01,3.548156924656155065e-01,2.846356198965760073e-02,5.928770325096831273e-03,1.921699629086571770e-01,1.100259555177282911e+00
1.200000000000000000e+01,5.182333388398374652e-01,3.553419966786564022e-01,2.809966753313510035e-02,5.965392127031737476e-03,1.926191599986222247e-01,1.100259555177282911e+00
1.212500000000000000e+01,5.175838008228937914e-01,3.558637660750751941e-01,2.774707787574681034e-02,6.001581367055789165e-03,1.930633290365112997e-01,1.100259555177282911e+00
1.225000000000000000e+01,5.169332510330062469e-01,3.563810227255571617e-01,2.740530997196337359e-02,6.037335372300877204e-03,1.935026360744553919e-01,1.100259555177283133e+00
1.237500000000000000e+01,5.162819708862407264e-01,3.568937894157611646e-01,2.707390332006625461e-02,6.072651794338038145e-03,1.939372397608767895e-01,1.100259555177282911e+00
1.250000000000000000e+01,5.156302264074922315e-01,3.574020895921987684e-01,2.675241889365528522e-02,6.107528597023935586e-03,1.943672916869127187e-01,1.100259555177282911e+00
1.262500000000000000e+01,5.149782689754172083e-01,3.579059473115800416e-01,2.644043813162181775e-02,6.141964044592632295e-03,1.947929367140713575e-01,1.100259555177282911e+00
1.275000000000000000e+01,5.143263360313771182e-01,3.584053871929654411e-01,2.613756197661243341e-02,6.175956690034694989e-03,1.952143132862930730e-01,1.100259555177282689e+00
1.287500000000000000e+01,5.136746517598089756e-01,3.589004343720705870e-01,2.584340995200821306e-02,6.209505363805740454e-03,1.956315537295893470e-01,1.100259555177282911e+00
1.300000000000000000e+01,5.130234277474396976e-01,3.593911144570601790e-01,2.555761926744417462e-02,6.242609162906457079e-03,1.960447845424324320e-01,1.100259555177282911e+00
1.312500000000000000e+01,5.123728636287669946e-01,3.598774534851767459e-01,2.527984394289404385e-02,6.275267440376233047e-03,1.964541266800688690e-01,1.100259555177282911e+00
1.325000000000000000e+01,5.117231477252217609e-01,3.603594778795446985e-01,2.500975394134506355e-02,6.307479795242388818e-03,1.968596958359289939e-01,1.100259555177282911e+00
1.337500000000000000e+01,5.110744575597143680e-01,3.608372144168069395e-01,2.474703446913550237e-02,6.339246062041335381e-03,1.972616026695848124e-01,1.100259555177282911e+00
1.350000000000000000e+01,5.104269602792208538e-01,3.613106902027094502e-01,2.449138540002738021e-02,6.370566300075312070e-03,1.976599529952498546e-01,1.100259555177282689e+00
1.362500000000000000e+01,5.097808132986340057e-01,3.617799326273049010e-01,2.424252040187280591e-02,6.401440784904391043e-03,1.980548480645667186e-01,1.100259555177282689e+00
1.375000000000000000e+01,5.091361647431933424e-01,3.622449693380034308e-01,2.400016633419653836e-02,6.431869998703777444e-03,1.984463847631856570e-01,1.100259555177282689e+00
