delta_over_Delta0,r_over_ell0,a_over_kBTc,q_delta_ell0,force_dimensionless,energy_excess_density,current_moment_dimensionless
0.05,2.1544729001335656e-05,3.800225071249114e-05,0.008617889544983109,-1.2694150706251087e-05,6.407174869665057,0.00010529251005842347
0.05,2.1755072878674593e-05,3.837327142755636e-05,0.008702027044094555,-1.281581775749667e-05,6.407174869541615,0.00010632049397064551
0.05,2.1967470369532232e-05,3.874791446415092e-05,0.008786985987168306,-1.2938605627782562e-05,6.407174869415749,0.00010735851421804329
0.05,2.218194152359359e-05,3.912621518745179e-05,0.008872774394036484,-1.306252327892318e-05,6.407174869287414,0.00010840666878660888
0.05,2.2398506586291197e-05,3.9508209307910436e-05,0.008959400362828978,-1.3187579701723076e-05,6.407174869156562,0.00010946505661898338
0.05,2.2617186000716423e-05,3.98939328846242e-05,0.009046872070737955,-1.3313783914534986e-05,6.407174869023141,0.00011053377762379806
0.05,2.2838000409548935e-05,4.0283422328739614e-05,0.009135197774789593,-1.3441144961750801e-05,6.407174868887105,0.00011161293268510387
0.05,2.3060970657005513e-05,4.067671440688987e-05,0.009224385812623569,-1.356967191222708e-05,6.407174868748401,0.00011270262367189553
0.05,2.328611779080763e-05,4.107384624466538e-05,0.009314444603280054,-1.3699373857639803e-05,6.407174868606973,0.0001138029534477274
0.05,2.351346306416827e-05,4.147485533011832e-05,0.009405382647994414,-1.3830259910769303e-05,6.407174868462773,0.00011491402588042369
0.05,2.374302793779822e-05,4.187977951730141e-05,0.009497208530999652,-1.3962339203709506e-05,6.407174868315747,0.00011603594585188296
0.05,2.397483408193183e-05,4.228865702984119e-05,0.009589930920336706,-1.4095620886002605e-05,6.407174868165834,0.00011716881926797894
0.05,2.4208903378372622e-05,4.270152646454614e-05,0.009683558568672614,-1.4230114122693757e-05,6.407174868012982,0.00011831275306855724
0.05,2.444525792255904e-05,4.311842679505046e-05,0.00977810031412679,-1.4365828092305609e-05,6.407174867857126,0.00011946785523753123
0.05,2.46839200256499e-05,4.353939737549255e-05,0.009873565081105155,-1.450277198472759e-05,6.407174867698221,0.00012063423481307408
0.05,2.4924912216630698e-05,4.3964477944230235e-05,0.009969961881142603,-1.464095499902027e-05,6.407174867536193,0.00012181200189791233
